author,title,rating,totalratings,genre_list
"Haruki Murakami,Jay Rubin",Norwegian Wood,4.03,385612,Cultural|Japan|Romance|Contemporary|Asian Literature|Japanese Literature|Literature|Literary Fiction|Cultural|Asia|Magical Realism
"Jane Carruth,Lewis Carroll,Rene Cloke",Alice in Wonderland,4.02,385074,Classics|Fantasy|Adventure|Literature|Middle Grade|Classics|Classic Literature
Charles Duhigg,The Power of Habit: Why We Do What We Do in Life and Business,4.11,382020,Psychology|Self Help|Business|Self Help|Personal Development|Productivity|Science|Leadership|Sociology
Neil Gaiman,Stardust,4.08,380273,Fantasy|Romance|Adventure|Science Fiction Fantasy|Fantasy|Magic|Fantasy|Fairy Tales
C.S. Lewis,Prince Caspian,3.97,370725,Fantasy|Classics|Adventure|Christian|Middle Grade|Christian Fiction|Science Fiction Fantasy
"Homer,Robert Fagles,Bernard Knox",The Iliad,3.88,370220,Classics|Poetry|Fantasy|Mythology|Literature|Fantasy|Historical|Historical Fiction|Academic|School|War|Epic
Kevin Kwan,Crazy Rich Asians,3.86,368230,Romance|Contemporary|Womens Fiction|Chick Lit|Humor|Adult Fiction|Cultural|Asia|Realistic Fiction
"J.R.R. Tolkien,David Wyatt","The Hobbit, Part One",4.29,361942,Fantasy|Classics|Science Fiction Fantasy|Adventure|Fantasy|High Fantasy|Fantasy|Epic Fantasy|Literature
"Sun Tzu,Thomas Cleary,Pulat Otkan",The Art of War,3.97,360348,Classics|Philosophy|History|War|Business|Politics|War|Military Fiction|Cultural|China|Leadership
Wilson Rawls,Where the Red Fern Grows,4.08,357672,Classics|Historical|Historical Fiction|Animals|Middle Grade|Academic|School|Realistic Fiction|Academic|Read For School
Dr. Seuss,How the Grinch Stole Christmas!,4.34,353942,Picture Books|Holiday|Christmas|Classics|Poetry|Holiday|Fantasy|Humor|Kids
Stephen King,'Salem's Lot,4.03,352776,Horror|Paranormal|Vampires|Fantasy|Thriller|Fantasy|Paranormal|Fantasy|Supernatural|Mystery
Arthur Conan Doyle,A Study in Scarlet,4.14,351466,Classics|Mystery|Mystery|Crime|Mystery|Detective|Thriller|Mystery Thriller|Historical|Historical Fiction|Literature|19th Century|Thriller
Kurt Vonnegut Jr.,Cat's Cradle,4.16,350196,Classics|Science Fiction|Humor|Literature|Science Fiction|Dystopia|Literature|American|Fantasy|Literature|20th Century
Daniel Kahneman,"Thinking, Fast and Slow",4.16,350028,Psychology|Science|Business|Self Help|Economics|Self Help|Personal Development|Philosophy|Unfinished
Madeline Miller,The Song of Achilles,4.4,339638,Historical|Historical Fiction|Fantasy|Fantasy|Mythology|LGBT|Romance|Historical|Retellings|GLBT|Queer
"Arthur  Miller,Christopher Bigsby",The Crucible,3.59,338877,Classics|Plays|Historical|Historical Fiction|Drama|Academic|School|Academic|Read For School|Historical|High School|Literature
Marissa Meyer,Scarlet,4.26,338512,Fantasy|Science Fiction|Romance|Science Fiction|Dystopia|Retellings|Fantasy|Fairy Tales|Adventure
William Shakespeare,Othello,3.9,329852,Classics|Plays|Drama|Academic|School|Literature|Plays|Theatre|Academic|Read For School|Poetry|Tragedy
Tahereh Mafi,Shatter Me,3.93,324326,Science Fiction|Dystopia|Fantasy|Romance|Science Fiction|Fantasy|Paranormal|Young Adult Fantasy|Fantasy|Supernatural
James Patterson,Kiss the Girls,3.97,320125,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Drama|Mystery|Detective
Khaled Hosseini,And the Mountains Echoed,4.05,319213,Historical|Historical Fiction|Contemporary|Adult Fiction|Book Club|Literary Fiction|Historical|Drama
