author,title,rating,totalratings,genre_list
Betty Crocker,Betty Crocker's Cookbook,4.24,37793,Food and Drink|Cookbooks|Food and Drink|Food|Food and Drink|Cooking|Reference|Food and Drink|Culinary|Classics|Food and Drink|Health|How To
Margaret Peterson Haddix,Found,3.98,37686,Science Fiction|Mystery|Science Fiction|Time Travel|Fantasy|Middle Grade|Adventure|Historical|Historical Fiction
"James Patterson,Maxine Paetro",12th of Never,4.04,37662,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Suspense|Mystery|Murder Mystery|Mystery|Detective
Shannon Messenger,Keeper of the Lost Cities,4.45,37653,Fantasy|Middle Grade|Adventure|Fantasy|Magic|Mystery|Young Adult Fantasy|Fantasy|Elves
Patricia Cornwell,Black Notice,3.89,37608,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Suspense|Mystery|Murder Mystery|Mystery|Detective|Adult Fiction
Curtis Sittenfeld,Sisterland,3.36,37606,Contemporary|Womens Fiction|Chick Lit|Adult Fiction|Literary Fiction|Family|Fantasy|Paranormal
"James Patterson,Michael Ledwidge",The Quickie,3.84,37582,Mystery|Thriller|Suspense|Mystery|Crime|Thriller|Mystery Thriller|Mystery|Murder Mystery|Adult Fiction
Agatha Christie,Hallowe'en Party,3.7,37569,Mystery|Mystery|Crime|Classics|Thriller|Mystery Thriller|Mystery|Detective|Holiday|Halloween|European Literature|British Literature
"Douglas Preston,Lincoln Child",Brimstone,4.12,37566,Mystery|Thriller|Horror|Suspense|Thriller|Mystery Thriller|Mystery|Crime|Adventure
"Jennifer L. Armentrout,Justine Eyre",Shadows,4.11,37539,Fantasy|Paranormal|Science Fiction|Aliens|Romance|Fantasy|Science Fiction|Romance|Paranormal Romance|Novella|Fantasy|Supernatural|Short Stories
Chris Bohjalian,The Sandcastle Girls,3.87,37529,Historical|Historical Fiction|Historical|War|Romance|Adult Fiction|War|World War I|Book Club
Quinn Loftis,Prince of Wolves,4.02,37519,Fantasy|Paranormal|Shapeshifters|Werewolves|Fantasy|Romance|Romance|Paranormal Romance|Paranormal|Shapeshifters|Fantasy|Supernatural|Animals|Wolves|Fantasy|Urban Fantasy
Julie Kagawa,The Eternity Cure,4.19,37470,Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Science Fiction|Dystopia|Romance|Fantasy|Urban Fantasy|Apocalyptic|Post Apocalyptic|Fantasy|Supernatural
Agatha Christie,Death in the Clouds,3.84,37451,Mystery|Mystery|Crime|Classics|Mystery|Detective|Thriller|Mystery Thriller|European Literature|British Literature|Mystery|Murder Mystery|Thriller
Kristen Proby,Play with Me,4.32,37432,Romance|Romance|Contemporary Romance|Sports|Sports|Contemporary|Contemporary Romance|Sports Romance|New Adult|Adult Fiction|Erotica|Romance|Erotic Romance|Womens Fiction|Chick Lit
Jennifer A. Nielsen,The Runaway King,4.24,37358,Fantasy|Adventure|Middle Grade|Young Adult Fantasy|Romance|Historical|Historical Fiction|Fantasy|High Fantasy
Madeleine Wickham,Cocktails for Three,3.44,37343,Womens Fiction|Chick Lit|Romance|Contemporary|European Literature|British Literature|Adult Fiction|Humor|Romance|Contemporary Romance|Womens Fiction
Kristen Britain,Green Rider,4.03,37340,Fantasy|Adventure|Fantasy|Magic|Fantasy|High Fantasy|Fantasy|Epic Fantasy|Science Fiction Fantasy|Middle Grade
Ayana Mathis,The Twelve Tribes of Hattie,3.5,37333,Historical|Historical Fiction|Cultural|African American|Historical|Family|Adult Fiction|Literary Fiction|Book Club
Amy A. Bartol,Inescapable,4.02,37326,Fantasy|Paranormal|Paranormal|Angels|Fantasy|Romance|Romance|Paranormal Romance|New Adult|Fantasy|Supernatural|Academic|College|Fantasy|Urban Fantasy
Craig Thompson,Habibi,4.03,37325,Sequential Art|Graphic Novels|Sequential Art|Comics|Graphic Novels Comics|Fantasy|Religion|Romance|Historical|Historical Fiction|Comics|Comic Book
Nyrae Dawn,Charade,3.97,37303,New Adult|Romance|Contemporary|Academic|College|Romance|Contemporary Romance|Womens Fiction|Chick Lit|Drama|Realistic Fiction
"Arthur Hailey,Aldo Barilli,Mario Colombo,Neo Cirillo",Airport,3.97,37292,Thriller|Suspense|Adventure|Classics|Aviation|Drama|Mystery|Contemporary
Darynda Jones,Fourth Grave Beneath My Feet,4.34,37273,Fantasy|Urban Fantasy|Fantasy|Paranormal|Fantasy|Romance|Romance|Paranormal Romance|Mystery|Paranormal|Demons|Paranormal|Ghosts|Humor
Richard Paul Evans,The Prisoner of Cell 25,4.22,37202,Science Fiction|Fantasy|Adventure|Teen|Middle Grade|Action|Fantasy|Paranormal|Thriller
Theodore Dreiser,Sister Carrie,3.76,37200,Classics|Literature|Literature|American|Historical|Historical Fiction|Classics|Classic Literature|Literature|20th Century|Literary Fiction|Academic|School
"Michelle Rowen,Richelle Mead",Vampire Academy: The Ultimate Guide,4.44,37163,Paranormal|Vampires|Fantasy|Fantasy|Paranormal|Romance|Fantasy|Supernatural|Fantasy|Urban Fantasy|Fantasy|Magic|Reference
Joe Abercrombie,Red Country,4.3,37155,Fantasy|Westerns|Fantasy|Epic Fantasy|Fantasy|Dark Fantasy|Fantasy|High Fantasy|Adventure|Science Fiction Fantasy|Dark
Camron Wright,The Rent Collector,4.24,37136,Historical|Historical Fiction|Book Club|Adult Fiction|Contemporary|Cultural|Asia|Realistic Fiction|Historical|Cultural
Jay Crownover,Jet,4.08,37125,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Music|Academic|College|Womens Fiction|Chick Lit|Adult Fiction|Erotica
Sarah Dessen,The Moon and More,3.63,37065,Romance|Contemporary|Realistic Fiction|Womens Fiction|Chick Lit|Teen|Young Adult Contemporary|Young Adult Romance|Coming Of Age
Katie Ashley,The Proposal,4.03,37051,Romance|Romance|Contemporary Romance|Contemporary|Womens Fiction|Chick Lit|Adult Fiction|Erotica|New Adult|Romance|Erotic Romance|Realistic Fiction
Kathy Reichs,Bare Bones,3.98,36918,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|Suspense|Mystery|Detective|Mystery|Murder Mystery|Anthropology
Chaim Potok,My Name Is Asher Lev,4.21,36914,Classics|Historical|Historical Fiction|Literature|Jewish|Religion|Religion|Judaism|Art|Literature
"Aristophanes,Sarah Ruden,Alex Struik,Benjamin Jowett,Jack Lindsay",Lysistrata,3.85,36883,Plays|Classics|Drama|Plays|Theatre|Humor|Feminism|Literature|Academic|School|Humor|Comedy
"Daron AcemoÄŸlu,James A. Robinson","Why Nations Fail: The Origins of Power, Prosperity, and Poverty",4.07,36875,Economics|Politics|History|Business|Politics|Political Science|Sociology|Culture|Society|Science|Social Science
Robert Frost,The Road Not Taken and Other Poems,4.28,36817,Poetry|Classics|Literature|American|Literature|Picture Books|Philosophy|Academic|School|Nature|Plants|Literary Fiction
Diane Chamberlain,The Midwife's Confession,4.07,36752,Womens Fiction|Chick Lit|Mystery|Contemporary|Drama|Womens Fiction|Adult Fiction|Family
Kristen Ashley,Lady Luck,4.42,36707,Romance|Romance|Contemporary Romance|Contemporary|Romance|Romantic Suspense|Suspense|Adult Fiction|Erotica|Womens Fiction|Chick Lit|Mystery|Humor
"Jenna Miscavige Hill,Lisa Pulitzer",Beyond Belief: My Secret Life Inside Scientology and My Harrowing Escape,3.74,36613,Autobiography|Memoir|Religion|Biography|Religion|Cults|Biography Memoir|Biography|Autobiography|Crime|True Crime|Classics|Cult Classics
"Stephen King,Bernie Wrightson,Michele Wrightson",Creepshow,4.07,36559,Horror|Sequential Art|Graphic Novels|Sequential Art|Comics|Short Stories|Fantasy|Comics|Comic Book|Graphic Novels Comics|Anthologies
"Aeschylus,Robert Fagles,William Bedell Stanford","The Oresteia: Agamemnon, The Libation Bearers, The Eumenides",4.01,36555,Classics|Plays|Drama|Fantasy|Mythology|Poetry|Literature|Plays|Theatre|Academic|School|Literature|Ancient
James Dashner,The Eye of Minds,3.85,36507,Science Fiction|Science Fiction|Dystopia|Fantasy|Adventure|Teen|Mystery|Action|Thriller
Karen Marie Moning,The Dark Highlander,4.26,36464,Romance|Science Fiction|Time Travel|Romance|Paranormal Romance|Fantasy|Paranormal|Romance|Historical Romance|Fantasy|Historical|Fairies|Fae|Historical|Historical Fiction
Blanche Fisher Wright,The Real Mother Goose,4.3,36456,Poetry|Picture Books|Classics|Nursery Rhymes|Fantasy|Fantasy|Fairy Tales|Kids
"Jussi Adler-Olsen,K.E. Semmel",The Absent One,3.89,36445,Mystery|Mystery|Crime|Thriller|Thriller|Mystery Thriller|European Literature|Scandinavian Literature|Cultural|Denmark|Scandinavian Lite...|Nordic Noir|Mystery|Detective
Dean Koontz,The Taking,3.78,36432,Horror|Thriller|Science Fiction|Suspense|Mystery|Fantasy|Fantasy|Paranormal|Fantasy|Supernatural|Science Fiction|Aliens
"Eugene O'Neill,Harold Bloom",Long Day's Journey into Night,4.06,36397,Plays|Drama|Classics|Plays|Theatre|Literature|American|Literature|Academic|School|Literature|20th Century|Nobel Prize
Emily Snow,Devoured,3.93,36386,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Adult Fiction|Erotica|Music|Erotica|BDSM|Romance|Erotic Romance|Music|Musicians
"Elizabeth  Smart,Chris Stewart",My Story,3.83,36381,Autobiography|Memoir|Crime|True Crime|Biography|Biography Memoir|Biography|Autobiography|Mystery|Crime|Religion|Sociology|Abuse
"Robert Kirkman,Charlie Adlard,Cliff Rathburn","The Walking Dead, Vol. 2: Miles Behind Us",4.24,36245,Sequential Art|Graphic Novels|Sequential Art|Comics|Horror|Horror|Zombies|Graphic Novels Comics|Apocalyptic|Post Apocalyptic|Comics|Comic Book|Science Fiction|Dystopia|Science Fiction
Nora Roberts,Whiskey Beach,4.02,36228,Romance|Mystery|Romance|Romantic Suspense|Contemporary|Romance|Contemporary Romance|Suspense|Womens Fiction|Chick Lit|Mystery|Crime
Linwood Barclay,No Time for Goodbye,4.01,36208,Thriller|Mystery|Mystery|Crime|Suspense|Drama|Thriller|Mystery Thriller|Contemporary|Dark
Kathleen Tessaro,The Perfume Collector,3.99,36188,Historical|Historical Fiction|Historical|Romance|Cultural|France|Mystery|Womens Fiction|Chick Lit|Adult Fiction|Book Club
Agatha Christie,The Mirror Crack'd from Side to Side,3.93,36162,Mystery|Mystery|Crime|Classics|Thriller|Mystery Thriller|Mystery|Detective|European Literature|British Literature|Mystery|Murder Mystery|Thriller
Kelley Armstrong,Industrial Magic,4.1,36131,Fantasy|Urban Fantasy|Fantasy|Fantasy|Paranormal|Romance|Romance|Paranormal Romance|Paranormal|Witches|Fantasy|Magic|Fantasy|Supernatural|Paranormal|Vampires
C.C. Hunter,Whispers at Moonrise,4.35,36123,Fantasy|Fantasy|Paranormal|Paranormal|Vampires|Romance|Shapeshifters|Werewolves|Fantasy|Supernatural|Fantasy|Magic|Romance|Paranormal Romance|Paranormal|Witches
Ann Patchett,The Magician's Assistant,3.68,36020,Literary Fiction|Contemporary|Fantasy|Magic|Book Club|Adult Fiction|Fantasy
Jonathan Stroud,The Screaming Staircase,4.19,35963,Fantasy|Mystery|Horror|Fantasy|Paranormal|Middle Grade|Paranormal|Ghosts|Adventure|Fantasy|Supernatural
Max Barry,Lexicon,3.91,35938,Science Fiction|Thriller|Fantasy|Mystery|Science Fiction Fantasy|Adult Fiction|Science Fiction|Dystopia
Mary Roach,Spook: Science Tackles the Afterlife,3.59,35898,Science|Humor|Fantasy|Paranormal|History|Death|Religion|Paranormal|Ghosts|Fantasy|Supernatural
"James Patterson,ÎÎ¯ÎºÎ¿Ï‚ Î£Ï€Ï…ÏÎ¹Î´Î¬ÎºÎ·Ï‚",Cross Country,3.86,35867,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Mystery|Detective|Mystery|Murder Mystery
Marisa de los Santos,Love Walked In,3.72,35863,Womens Fiction|Chick Lit|Romance|Contemporary|Adult Fiction|Book Club|Womens Fiction
Steve Martin,Shopgirl,3.43,35850,Romance|Contemporary|Humor|Adult Fiction|Womens Fiction|Chick Lit|Novella
Stephen King,The Body,4.28,35815,Horror|Coming Of Age|Novella|Adventure|Drama|Historical|Historical Fiction|Literature|American
Tamora Pierce,Bloodhound,4.27,35804,Fantasy|Fantasy|Magic|Mystery|Young Adult Fantasy|Adventure|Fantasy|High Fantasy|Teen|Science Fiction Fantasy
Jennifer L. Armentrout,Sentinel,4.47,35767,Fantasy|Fantasy|Paranormal|Fantasy|Mythology|Romance|Romance|Paranormal Romance|Mythology|Greek Mythology|Fantasy|Urban Fantasy|Fantasy|Supernatural|Fantasy|Magic
Grady Hendrix,HorrorstÃ¶r,3.64,35764,Horror|Humor|Mystery|Fantasy|Paranormal|Thriller|Fantasy|Paranormal|Ghosts|Contemporary
Sarah J. Maas,The Assassin and the Pirate Lord,4.23,35686,Fantasy|Short Stories|Novella|Romance|Fantasy|High Fantasy|Adventure|Young Adult Fantasy|New Adult
Sarah MacLean,A Rogue by Any Other Name,3.94,35659,Romance|Romance|Historical Romance|Historical|Historical|Historical Fiction|Historical|Regency|Historical Romance|Regency Romance|Womens Fiction|Chick Lit
Antonia Fraser,Marie Antoinette: The Journey,3.9,35650,History|Biography|Cultural|France|Historical|Biography Memoir|European History|French Revolution|Literature|18th Century|History|European History
"Brandon Sanderson,Deniz Evliyagil",Legion,4.14,35629,Fantasy|Science Fiction|Mystery|Fantasy|Urban Fantasy|Novella|Short Stories|Thriller
"Jo NesbÃ¸,Don Bartlett",Headhunters,3.82,35598,Mystery|Crime|Thriller|Mystery|European Literature|Scandinavian Literature|Thriller|Mystery Thriller|Suspense|Scandinavian Lite...|Nordic Noir|Mystery|Detective
James Patterson,The Lake House,3.8,35595,Mystery|Thriller|Fantasy|Science Fiction|Suspense|Thriller|Mystery Thriller|Mystery|Crime|Adult Fiction
Rachel Hauck,The Wedding Dress,3.86,35564,Romance|Christian Fiction|Historical|Historical Fiction|Christian|Womens Fiction|Chick Lit|Contemporary|Historical|Romance|Christian Romance
Karen Marie Moning,The Immortal Highlander,4.29,35556,Romance|Romance|Paranormal Romance|Fantasy|Paranormal|Fantasy|Science Fiction|Time Travel|Romance|Historical Romance|Historical|Fairies|Fae|Historical|Historical Fiction
Louisa May Alcott,Eight Cousins,4.01,35472,Classics|Historical|Historical Fiction|Historical|Middle Grade|Literature|Childrens Classics|Literature|American
J.D. Robb,Conspiracy in Death,4.35,35416,Mystery|Romance|Mystery|Crime|Romance|Romantic Suspense|Futuristic|Suspense|Science Fiction|Thriller|Mystery Thriller|Thriller
Kelley Armstrong,Dime Store Magic,4.05,35312,Fantasy|Urban Fantasy|Fantasy|Fantasy|Paranormal|Romance|Paranormal|Witches|Romance|Paranormal Romance|Fantasy|Magic|Fantasy|Supernatural
Haven Kimmel,A Girl Named Zippy,3.79,35300,Autobiography|Memoir|Humor|Biography|Biography Memoir|Book Club|Biography|Autobiography|Family
Michio Kaku,Physics of the Impossible,4.07,35258,Science|Science|Physics|Science|Popular Science|Science|Technology|Science|Astronomy|Space|Science Fiction|Time Travel|Reference
"Ernesto Che Guevara,Aleida Guevara March",The Motorcycle Diaries: Notes on a Latin American Journey,3.77,35214,Travel|Biography|History|Autobiography|Memoir|Politics|Biography|Autobiography|Adventure|Biography Memoir|Classics
Ree Drummond,The Pioneer Woman Cooks: Food from My Frontier,4.04,35204,Food and Drink|Cookbooks|Food and Drink|Cooking|Food and Drink|Food|Reference|Food and Drink|Foodie|How To|Food and Drink|Cuisine|Food and Drink
Philip Roth,The Human Stain,3.89,35177,Literature|Literature|American|Contemporary|Literary Fiction|Classics|The United States Of America|American|Americana|Literature|Jewish
Rae Carson,The Bitter Kingdom,4.21,35171,Fantasy|Young Adult Fantasy|Romance|Teen|Fantasy|Magic|Fantasy|High Fantasy|Adventure
Karen Marie Moning,Burned,4.15,35155,Fantasy|Urban Fantasy|Fantasy|Fantasy|Paranormal|Romance|Romance|Paranormal Romance|Fairies|Fae|Fantasy|Magic|Fantasy|Supernatural
Monica  Murphy,Second Chance Boyfriend,4.05,35143,New Adult|Romance|Contemporary|Romance|Contemporary Romance|Academic|College|Sports|Sports|Sociology|Abuse|Adult Fiction|Erotica
Susan Cooper,Silver on the Tree,4.09,35134,Fantasy|Middle Grade|Mythology|Arthurian|Adventure|Science Fiction Fantasy|Fantasy|Magic|Fantasy|Mythology
Bob McCabe,Harry Potter Page to Screen: The Complete Filmmaking Journey,4.57,35124,Culture|Film|Art|Reference|Fantasy|Magic|Media Tie In|Paranormal|Witches|Pop Culture|Fandom
James Patterson,Nevermore,3.89,35121,Fantasy|Science Fiction|Romance|Adventure|Fantasy|Paranormal|Science Fiction|Dystopia|Action|Teen
"Henry David Thoreau,W.S. Merwin",Walden & Civil Disobedience,3.95,35106,Classics|Philosophy|Writing|Essays|Literature|Environment|Nature|Politics|History|Autobiography|Memoir|Literature|American
"Jane Yolen,Mark Teague",How Do Dinosaurs Say Good Night?,4.13,35105,Picture Books|Animals|Dinosaurs|Storytime|Animals|Humor|Fantasy|Poetry|Family
Dean Koontz,Life Expectancy,3.96,35103,Horror|Thriller|Mystery|Suspense|Fantasy|Thriller|Mystery Thriller|Humor|Fantasy|Paranormal
K.A. Tucker,One Tiny Lie,4.27,35040,New Adult|Romance|Contemporary|Academic|College|Romance|Contemporary Romance|Sociology|Abuse|Womens Fiction|Chick Lit|Drama
Megan McCafferty,Sloppy Firsts,3.95,35036,Womens Fiction|Chick Lit|Contemporary|Romance|Realistic Fiction|Teen|Humor|High School|Coming Of Age
MaryJanice Davidson,Undead and Unemployed,3.91,35022,Paranormal|Vampires|Fantasy|Paranormal|Romance|Romance|Paranormal Romance|Fantasy|Fantasy|Urban Fantasy|Womens Fiction|Chick Lit|Humor|Fantasy|Supernatural
Kristen Ashley,Breathe,4.35,35021,Romance|Romance|Contemporary Romance|Contemporary|Romance|Romantic Suspense|Suspense|Mystery|Adult Fiction|Erotica|Womens Fiction|Chick Lit
Richard Dawkins,The Blind Watchmaker: Why the Evidence of Evolution Reveals a Universe Without Design,4.08,34961,Science|Biology|Evolution|Science|Biology|Philosophy|Religion|Religion|Atheism|Science|Popular Science|Biology|Genetics
Zadie Smith,NW,3.46,34960,Contemporary|Literary Fiction|European Literature|British Literature|Unfinished|Literature|Literature|21st Century|Adult Fiction
"Tsugumi Ohba,Takeshi Obata,Pookie Rolf","Death Note, Vol. 2: Confluence",4.46,34947,Sequential Art|Manga|Sequential Art|Graphic Novels|Fantasy|Sequential Art|Comics|Horror|Mystery|Thriller|Mystery|Crime
Tarryn Fisher,Thief,4.37,34894,Romance|New Adult|Contemporary|Romance|Contemporary Romance|Drama|Dark|Womens Fiction|Chick Lit|Love
Charlaine Harris,An Ice Cold Grave,3.94,34892,Mystery|Fantasy|Paranormal|Fantasy|Fantasy|Urban Fantasy|Fantasy|Supernatural|Romance|Mystery|Crime|Romance|Paranormal Romance
Terry Brooks,Magic Kingdom for Sale/Sold,3.9,34888,Fantasy|Science Fiction Fantasy|Humor|Fantasy|Magic|Adventure|Fantasy|High Fantasy|Fantasy|Dragons|Fantasy|Epic Fantasy
Charlaine Harris,Grave Surprise,3.89,34860,Mystery|Fantasy|Fantasy|Urban Fantasy|Fantasy|Supernatural|Fantasy|Paranormal|Mystery|Crime|Romance|Paranormal Romance|Paranormal|Ghosts
John Buchan,The 39 Steps,3.64,34846,Classics|Mystery|Thriller|Adventure|Mystery|Crime|Spy Thriller|Espionage|Historical|Historical Fiction|Cultural|Scotland
Kim Harrison,A Perfect Blood,4.38,34839,Fantasy|Urban Fantasy|Fantasy|Fantasy|Paranormal|Paranormal|Vampires|Fantasy|Supernatural|Paranormal|Witches|Romance|Paranormal Romance|Paranormal|Demons|Fantasy|Magic|Fairies|Fae
Jeanette Winterson,Why Be Happy When You Could Be Normal?,3.95,34632,Autobiography|Memoir|LGBT|Biography|GLBT|Queer|Biography|Autobiography|Biography Memoir|Feminism|Parenting|Adoption|European Literature|British Literature
Miranda July,No One Belongs Here More Than You,3.82,34628,Short Stories|Contemporary|Literature|American|Adult Fiction|Literary Fiction|Literature|Womens|Humor|Unfinished
Lorna Landvik,Angry Housewives Eating Bon Bons,3.8,34595,Womens Fiction|Chick Lit|Book Club|Humor|Contemporary|Adult Fiction|Womens Fiction|Historical|Historical Fiction|Womens
Ilona Andrews,Gunmetal Magic,4.23,34587,Fantasy|Urban Fantasy|Fantasy|Fantasy|Paranormal|Romance|Fantasy|Magic|Romance|Paranormal Romance|Paranormal|Shapeshifters|Paranormal|Vampires
Courtney Cole,If You Stay,3.94,34573,New Adult|Romance|Contemporary|Romance|Contemporary Romance|Sociology|Abuse|Womens Fiction|Chick Lit|Love
Julia Quinn,The Secret Diaries of Miss Miranda Cheever,3.91,34572,Romance|Historical Romance|Romance|Historical|Historical|Historical Fiction|Historical|Regency|Historical Romance|Regency Romance|Womens Fiction|Chick Lit|European Literature|British Literature
Simon Sinek,Leaders Eat Last,4.12,34537,Leadership|Business|Self Help|Business|Management|Self Help|Personal Development|Psychology|Buisness|Business|Entrepreneurship
Yoshihiro Togashi,"Hunter x Hunter, Vol. 01",4.51,34521,Sequential Art|Manga|Fantasy|Sequential Art|Comics|Sequential Art|Graphic Novels|Adventure|Media Tie In|Anime|Comics Manga|Manga|Shonen|Action
"Joelle Charbonneau,AmÃ©lie Sarn",Independent Study,3.97,34476,Science Fiction|Dystopia|Science Fiction|Fantasy|Apocalyptic|Post Apocalyptic|Romance|Adventure|Teen|Action
J.R. Moehringer,The Tender Bar: A Memoir,3.91,34469,Autobiography|Memoir|Biography|Biography|Autobiography|Biography Memoir|Coming Of Age|Book Club|New York|American|Americana
Chris  Pavone,The Expats,3.5,34459,Mystery|Thriller|Suspense|Thriller|Mystery Thriller|Spy Thriller|Espionage|Mystery|Crime|Contemporary|Adult Fiction
Alan Lightman,Einstein's Dreams,4.07,34423,Short Stories|Philosophy|Science Fiction|Historical|Historical Fiction|Fantasy|Science|Physics|Literature|Science Fiction|Time Travel
Kevin Hearne,Hunted,4.29,34413,Fantasy|Urban Fantasy|Fantasy|Fantasy|Magic|Fantasy|Paranormal|Fantasy|Mythology|Paranormal|Vampires|Fantasy|Supernatural|Adventure
"Stephen King,Willem Dafoe",One Past Midnight: The Langoliers,3.9,34411,Horror|Science Fiction|Thriller|Fantasy|Short Stories|Fantasy|Paranormal|Mystery|Fantasy|Supernatural
Laurie Halse Anderson,Twisted,3.83,34410,Realistic Fiction|Contemporary|Teen|Coming Of Age|High School|Romance|Family
"Noel Streatfeild,Diane Goode",Ballet Shoes,4.05,34388,Classics|Middle Grade|Historical|Historical Fiction|Childrens Classics|Realistic Fiction|European Literature|British Literature|Juvenile
Nora Roberts,Key of Valor,4.13,34334,Romance|Fantasy|Fantasy|Paranormal|Romance|Paranormal Romance|Romance|Contemporary Romance|Contemporary|Fantasy|Magic|Mystery|Womens Fiction|Chick Lit
Cathy Marie Buchanan,The Painted Girls,3.61,34302,Historical|Historical Fiction|Historical|Cultural|France|Art|Cultural|Canada|Adult Fiction|Book Club
Terry Pratchett,Raising Steam,3.98,34286,Fantasy|Humor|Humor|Comedy|Science Fiction Fantasy|Science Fiction|Steampunk|Adventure|Science Fiction
Lee Child,Second Son,3.97,34280,Thriller|Mystery|Mystery|Crime|Short Stories|Action|Suspense|Thriller|Mystery Thriller|War|Military Fiction
"Laura Schroff,Alex Tresniowski,Valerie Salembier",An Invisible Thread,4.03,34226,Autobiography|Memoir|Biography|Book Club|Biography Memoir|Inspirational|Biography|Autobiography|Social Issues|Poverty
Darynda Jones,Fifth Grave Past the Light,4.41,34207,Fantasy|Paranormal|Fantasy|Urban Fantasy|Romance|Fantasy|Romance|Paranormal Romance|Mystery|Paranormal|Ghosts|Paranormal|Demons|Humor
Alan Bradley,Speaking from Among the Bones,4.16,34102,Mystery|Historical|Historical Fiction|Historical|Mystery|Crime|European Literature|British Literature|Thriller|Mystery Thriller
"Patricia C. Wrede,Peter de SÃ¨ve",Talking to Dragons,4.19,34062,Fantasy|Fantasy|Dragons|Middle Grade|Fantasy|Magic|Adventure|Fantasy|Fairy Tales|Humor
Beryl Markham,West with the Night,4.11,33989,Autobiography|Memoir|Biography|Cultural|Africa|Travel|History|Adventure|Biography Memoir|Biography|Autobiography|Aviation
Jeffrey Archer,A Prisoner of Birth,4.16,33980,Thriller|Mystery|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Drama|Contemporary
Elin Hilderbrand,Beautiful Day,3.79,33948,Womens Fiction|Chick Lit|Romance|Contemporary|Womens Fiction|Adult Fiction|Family|Drama
Sarah Rees Brennan,Unspoken,3.8,33947,Fantasy|Fantasy|Paranormal|Romance|Mystery|Fantasy|Magic|Fantasy|Urban Fantasy|Gothic|Fantasy|Supernatural
Sue Grafton,F is for Fugitive,3.93,33929,Mystery|Mystery|Crime|Thriller|Mystery Thriller|Mystery|Detective|Suspense|Thriller|Mystery|Murder Mystery
"James Patterson,Marshall Karp",NYPD Red,3.94,33919,Mystery|Thriller|Mystery|Crime|Suspense|Thriller|Mystery Thriller|Mystery|Detective|Action
Kristen Proby,Rock with Me,4.29,33852,Romance|Romance|Contemporary Romance|Contemporary|New Adult|Music|Adult Fiction|Erotica|Music|Musicians|Romance|Erotic Romance|Womens Fiction|Chick Lit
Mark Dunn,Ella Minnow Pea: A Novel in Letters,3.88,33841,Humor|Fantasy|Science Fiction|Dystopia|Contemporary|Adult Fiction|Humanities|Language|Book Club
Janet Evanovich,Wicked Business,3.8,33812,Mystery|Fantasy|Paranormal|Fantasy|Romance|Humor|Womens Fiction|Chick Lit|Fantasy|Supernatural|Fantasy|Urban Fantasy
Cora Carmack,Faking It,3.94,33737,New Adult|Romance|Contemporary|Romance|Contemporary Romance|Womens Fiction|Chick Lit|Academic|College
"Timur Vermes,Jamie Bulloch",Look Who's Back,3.43,33733,Humor|European Literature|German Literature|Contemporary|Cultural|Germany|Humor|Comedy|Historical|Historical Fiction|Politics
Rita Mae Brown,Rubyfruit Jungle,3.92,33729,LGBT|GLBT|Queer|Classics|LGBT|Lesbian|Feminism|LGBT|Gay|Coming Of Age|Queer|Queer Lit
"Louis-Ferdinand CÃ©line,Ralph Manheim,Angela CismaÅŸ,William T. Vollmann",Journey to the End of the Night,4.22,33722,Classics|Cultural|France|European Literature|French Literature|Literature|Philosophy|Literature|20th Century|War|Roman
Kelley Armstrong,The Calling,4.07,33690,Fantasy|Paranormal|Fantasy|Fantasy|Urban Fantasy|Fantasy|Supernatural|Romance|Paranormal|Shapeshifters|Romance|Paranormal Romance|Teen
"Michael Chabon,Hans Hermann",Wonder Boys,3.93,33674,Contemporary|Literature|Literary Fiction|LGBT|Humor|Literature|American|Adult Fiction|Literature|20th Century
Peter V. Brett,The Skull Throne,4.13,33654,Fantasy|Fantasy|Epic Fantasy|Fantasy|High Fantasy|Fantasy|Magic|Fantasy|Dark Fantasy|Paranormal|Demons|Epic|Adventure
Sister Souljah,The Coldest Winter Ever,4.47,33652,Cultural|African American|Urban|Adult Fiction|Contemporary|Realistic Fiction|Classics
Agatha Christie,Sleeping Murder,3.96,33535,Mystery|Mystery|Crime|Classics|Mystery|Detective|Thriller|Mystery Thriller|European Literature|British Literature|Mystery|Murder Mystery|Thriller
Margaret Peterson Haddix,Just Ella,3.75,33475,Fantasy|Fantasy|Fairy Tales|Romance|Retellings|Middle Grade|Fairy Tales|Fairy Tale Retellings|Teen
Daniel Woodrell,Winter's Bone,3.87,33450,Mystery|Contemporary|Mystery|Crime|Literary Fiction|Adult Fiction|Thriller|Mystery Thriller|Gothic|Southern Gothic
Jennifer Close,Girls in White Dresses,3.16,33438,Womens Fiction|Chick Lit|Contemporary|Romance|Adult Fiction|Humor|Short Stories
